Historical Operating Data,1Q99,2Q99,3Q99,4Q99,1Q00,2Q00,3Q00,4Q00,1Q01,2Q01,3Q01,4Q01,1Q02,2Q02,3Q02,4Q02,1Q03,2Q03,3Q03,4Q03,1Q04,2Q04,3Q04,4Q04,1Q05,2Q05,3Q05,4Q05,1Q06,2Q06,3Q06,4Q06,1Q07,2Q07,3Q07,4Q07,1Q08,2Q08,3Q08,4Q08,1Q09,2Q09,3Q09,4Q09,1Q10,2Q10,3Q10,4Q10,1Q11,2Q11,3Q11,4Q11,1Q12,2Q12,3Q12,4Q12,1Q13,2Q13,3Q13,4Q13,1Q14,2Q14,3Q14,4Q14,1Q15,2Q15,3Q15,4Q15,1Q16,2Q16,3Q16,4Q16,1Q17,2Q17,3Q17,4Q17,1Q18,2Q18,3Q18,4Q18,1Q19,2Q19,3Q19,4Q19,1Q20,2Q20,3Q20,4Q20,1Q21,2Q21,3Q21,4Q21,1Q22,2Q22,3Q22,4Q22,1Q23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Capacity (1) ,,,,842,,,,"1,516",,,,"1,946",,,,"1,729",,,,"1,784",,,,"2,128",,,,"2,646",,,,"3,139",,,,"3,684",,,,"4,168",,,,"4,424",,,,"5,035",,,,"5,876",,,,"6,707",,,,"7,310",,,,"8,176",,,,"> 9,000",,,,"> 10,000",,,,"> 11,000",,,,">12,000",,,,">12,000",,,,">12,000",,,,">13,000",,,,">15,000",
"(Thousand 12"" equivalent wafers)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Wafer Shipments (2),142,188,207,245,285,366,419,445,312,200,199,248,266,320,301,303,308,394,441,501,521,570,592,542,495,567,679,759,772,831,840,764,696,825,989,"1,048",976,"1,035","1,072",681,396,876,"1,087","1,080","1,132","1,301","1,418","1,420","1,405","1,463","1,413","1,296","1,297","1,645","1,716","1,584","1,587","1,793","1,864","1,719","1,718","2,053","2,267","2,225","2,287","2,240","2,216","2,020","2,056","2,297","2,638","2,614","2,473","2,533","2,744","2,699","2,680","2,674","2,712","2,686","2,205","2,308","2,733","2,823","2,925","2,985","3,240","3,246","3,359","3,449","3,646","3,725","3,778","3,799","3,974","3,702","3,227"
"(Thousand 12"" equivalent wafers)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breakdown of Revenue (%) (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wafer Revenue by Technology (4) (6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.20,0.14,0.18,0.18,0.23,0.20,0.21,0.28,0.32,0.31
7nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.23,0.22,0.21,0.27,0.35,0.35,0.36,0.35,0.29,0.35,0.31,0.34,0.27,0.30,0.30,0.26,0.22,0.20
10nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.10,0.25,0.19,0.13,0.06,0.06,0.04,0.03,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
