"Date","Year","Month","Revenue","Time"
"1999-1-1","1999","Jan",3845,1999
"1999-2-1","1999","Feb",3717,1999.08333333333
"1999-3-1","1999","Mar",4939,1999.16666666667
"1999-4-1","1999","Apr",5238,1999.25
"1999-5-1","1999","May",5619,1999.33333333333
"1999-6-1","1999","Jun",6375,1999.41666666667
"1999-7-1","1999","Jul",6586,1999.5
"1999-8-1","1999","Aug",7012,1999.58333333333
"1999-9-1","1999","Sep",6109,1999.66666666667
"1999-10-1","1999","Oct",7212,1999.75
"1999-11-1","1999","Nov",7859,1999.83333333333
"1999-12-1","1999","Dec",8621,1999.91666666667
"2000-1-1","2000","Jan",9327,2000
"2000-2-1","2000","Feb",9019,2000.08333333333
"2000-3-1","2000","Mar",9933,2000.16666666667
"2000-4-1","2000","Apr",8863,2000.25
"2000-5-1","2000","May",10934,2000.33333333333
"2000-6-1","2000","Jun",12015,2000.41666666667
"2000-7-1","2000","Jul",15019,2000.5
"2000-8-1","2000","Aug",16077,2000.58333333333
"2000-9-1","2000","Sep",16396,2000.66666666667
"2000-10-1","2000","Oct",17462,2000.75
"2000-11-1","2000","Nov",18173,2000.83333333333
"2000-12-1","2000","Dec",18188,2000.91666666667
"2001-1-1","2001","Jan",16157,2001
"2001-2-1","2001","Feb",11614,2001.08333333333
"2001-3-1","2001","Mar",11750,2001.16666666667
"2001-4-1","2001","Apr",9232,2001.25
"2001-5-1","2001","May",8551,2001.33333333333
"2001-6-1","2001","Jun",8515,2001.41666666667
"2001-7-1","2001","Jul",8604,2001.5
"2001-8-1","2001","Aug",9028,2001.58333333333
"2001-9-1","2001","Sep",9308,2001.66666666667
"2001-10-1","2001","Oct",10338,2001.75
"2001-11-1","2001","Nov",11059,2001.83333333333
"2001-12-1","2001","Dec",11733,2001.91666666667
"2002-1-1","2002","Jan",12045,2002
"2002-2-1","2002","Feb",11468,2002.08333333333
"2002-3-1","2002","Mar",12277,2002.16666666667
"2002-4-1","2002","Apr",13366,2002.25
"2002-5-1","2002","May",15201,2002.33333333333
