Year,Technology (Chip Size),"Technology Change (current,prev)"
1987,3 micro,0
1988,1.5 micro m,1
1989,1.2 micro m,1
1990,1.0 micro m,1
1991,1.0 micro m,0
1992,0.8 micro m,1
1993,0.6 micro m,1
1994,0.5 micro m,1
1995,0.5 micro m,0
1996,0.35 micro m,1
1997,0.3 micro m,1
1998,0.26 micro m,1
1999,0.18 micro m,1
2000,0.18 micro m,0
2001,0.13 micro m,1
2002,0.13 micro m,0
2003,0.13 micro m,0
2004,90nm,1
2005,90nm,0
2006,65nm,1
2007,45nm,1
2008,40nm,1
2009,40nm,0
2010,40nm,0
2011,28nm,1
2012,28nm,0
2013,28nm,0
2014,20nm,1
2015,16nm,1
2016,10nm,1
2017,10nm,0
2018,7nm,1
2019,7nm,0
2020,5nm,1
2021,5nm,0
2022,3nm,1
2023,3nm,0
